,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
54054,World,all_energy_types,2019,601.0404899538854,611.5089686476265,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,35584.933497695
54055,World,coal,2019,163.97177585957522,171.84042432282158,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,15773.074340737823
54056,World,natural_gas,2019,146.92339602648022,149.4015884572352,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,7607.936617844
54057,World,petroleum_n_other_liquids,2019,196.07735760722844,192.13455811703946,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,12203.922539102654
54058,World,nuclear,2019,27.65989087153229,27.65989087153229,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,0.0
54059,World,renewables_n_other,2019,67.75897673906928,70.472506878998,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,0.0
54060,Afghanistan,all_energy_types,2019,0.12274842133951257,0.05521030952760256,79.4546,38050.9,3.225900605229116,1.544887537531025,9.391163087
54061,Afghanistan,coal,2019,0.04456391145462724,0.042335715942717234,79.4546,38050.9,3.225900605229116,1.544887537531025,4.752619277775776
54062,Afghanistan,natural_gas,2019,0.005039073584885323,0.005039073584885323,79.4546,38050.9,3.225900605229116,1.544887537531025,0.318251809
54063,Afghanistan,petroleum_n_other_liquids,2019,0.0485501723,0.0,79.4546,38050.9,3.225900605229116,1.544887537531025,4.320292
54064,Afghanistan,nuclear,2019,,,79.4546,38050.9,3.225900605229116,1.544887537531025,0.0
54065,Afghanistan,renewables_n_other,2019,0.024595264,0.00783552,79.4546,38050.9,3.225900605229116,1.544887537531025,0.0
54066,Albania,all_energy_types,2019,0.11074824093269141,0.08908229857345225,38.2684,2879.92,38.4553185271436,2.893986707902379,4.031301559
54067,Albania,coal,2019,0.0024943557431554015,8.89843001352307e-05,38.2684,2879.92,38.4553185271436,2.893986707902379,0.204335593307699
54068,Albania,natural_gas,2019,0.001473170649536,0.001483566006942,38.2684,2879.92,38.4553185271436,2.893986707902379,0.079780155
54069,Albania,petroleum_n_other_liquids,2019,0.0524847363,0.041423178506375016,38.2684,2879.92,38.4553185271436,2.893986707902379,3.747185810218978
54070,Albania,nuclear,2019,,,38.2684,2879.92,38.4553185271436,2.893986707902379,0.0
54071,Albania,renewables_n_other,2019,0.05429597824,0.04608656976,38.2684,2879.92,38.4553185271436,2.893986707902379,0.0
54072,Algeria,all_energy_types,2019,2.643502654452609,6.429790182459667,509.066,43030.4,61.43337395080243,5.1928485784802145,145.987969135
54073,Algeria,coal,2019,0.0004054356405179378,0.0,509.066,43030.4,61.43337395080243,5.1928485784802145,0.23264744689886027
54074,Algeria,natural_gas,2019,1.760638243086,3.294896139756,509.066,43030.4,61.43337395080243,5.1928485784802145,89.160554488
54075,Algeria,petroleum_n_other_liquids,2019,0.8727348975,3.1274413947036668,509.066,43030.4,61.43337395080243,5.1928485784802145,56.59476720000001
